"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB"
"V";"06.09.2026";"19:39:10";4;4;"GEM";"15083230";"Flechtingen";"U";2167;1337;11;1326;253;637;71;120;29;88;18;1;11;6;4;6;77;1;4;15;1322;447;626;65;82;24;20;;;;;;;58;;;
"L";;;1;0;"GEM";"15083230";"Flechtingen";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"19:39:10";5;4;"GEM";"15083230";"Flechtingen";"";2167;1337;11;1326;253;637;71;120;29;88;18;1;11;6;4;6;77;1;4;15;1322;447;626;65;82;24;20;;;;;;;58;;;
"Z";"06.09.2026";"19:56:27";5;4;"GEM";"15083245";"Gröningen, Stadt";"U";1407;919;10;909;127;519;73;65;26;28;9;0;10;4;4;1;41;1;1;5;914;154;531;88;55;35;10;;;;;;;41;;;
"L";;;1;0;"GEM";"15083245";"Gröningen, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"19:56:27";6;4;"GEM";"15083245";"Gröningen, Stadt";"";1407;919;10;909;127;519;73;65;26;28;9;0;10;4;4;1;41;1;1;5;914;154;531;88;55;35;10;;;;;;;41;;;
"Z";"06.09.2026";"20:08:05";14;12;"GEM";"15083270";"Haldensleben, Stadt";"U";11882;6836;80;6756;1086;3399;508;546;163;423;65;4;78;48;18;31;365;7;15;83;6753;1878;3345;458;448;173;129;;;;;;;322;;;
"Z";"06.09.2026";"20:22:18";3;2;"GEM";"15083270";"Haldensleben, Stadt";"B";0;1255;9;1246;345;352;136;173;25;98;9;0;14;13;1;4;75;0;1;11;1244;505;336;115;158;25;35;;;;;;;70;;;
"Z";"06.09.2026";"20:22:18";17;14;"GEM";"15083270";"Haldensleben, Stadt";"";11882;8091;89;8002;1431;3751;644;719;188;521;74;4;92;61;19;35;440;7;16;94;7997;2383;3681;573;606;198;164;;;;;;;392;;;
"V";"06.09.2026";"19:24:16";1;1;"GEM";"15083275";"Harbke";"U";1126;745;7;738;122;347;42;91;14;35;10;1;12;8;2;7;45;2;0;7;738;189;359;41;73;16;17;;;;;;;43;;;
"V";"06.09.2026";"18:54:33";1;1;"GEM";"15083275";"Harbke";"B";0;145;9;136;48;42;9;14;4;9;0;0;1;1;0;0;8;0;0;9;136;57;41;9;14;5;2;;;;;;;8;;;
"V";"06.09.2026";"19:24:16";2;2;"GEM";"15083275";"Harbke";"";1126;890;16;874;170;389;51;105;18;44;10;1;13;9;2;7;53;2;0;16;874;246;400;50;87;21;19;;;;;;;51;;;
"Z";"06.09.2026";"20:27:24";16;13;"GEM";"15083298";"Hohe Börde";"U";11864;6552;76;6476;876;3660;420;427;147;396;51;2;60;41;19;42;305;10;20;74;6478;1276;3659;481;331;233;144;;;;;;;268;;;86
"L";;;4;0;"GEM";"15083298";"Hohe Börde";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0
"Z";"06.09.2026";"20:27:24";20;13;"GEM";"15083298";"Hohe Börde";"";11864;6552;76;6476;876;3660;420;427;147;396;51;2;60;41;19;42;305;10;20;74;6478;1276;3659;481;331;233;144;;;;;;;268;;;86
"V";"06.09.2026";"20:00:21";4;4;"GEM";"15083320";"Hötensleben";"U";2786;1649;16;1633;288;879;114;118;29;71;12;3;14;8;3;7;79;5;3;17;1632;375;887;127;113;37;23;;;;;;;70;;;
"L";;;1;0;"GEM";"15083320";"Hötensleben";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"20:00:21";5;4;"GEM";"15083320";"Hötensleben";"";2786;1649;16;1633;288;879;114;118;29;71;12;3;14;8;3;7;79;5;3;17;1632;375;887;127;113;37;23;;;;;;;70;;;
"V";"06.09.2026";"19:17:34";4;4;"GEM";"15083323";"Ingersleben";"U";1038;722;10;712;105;396;29;56;14;37;24;0;9;6;0;3;29;1;3;14;708;181;390;40;42;23;7;;;;;;;25;;;
"V";"06.09.2026";"18:47:13";1;1;"GEM";"15083323";"Ingersleben";"B";0;109;0;109;37;29;9;10;5;8;1;1;2;2;0;0;5;0;0;0;109;51;27;4;17;5;1;;;;;;;4;;;
"V";"06.09.2026";"19:17:34";5;5;"GEM";"15083323";"Ingersleben";"";1038;831;10;821;142;425;38;66;19;45;25;1;11;8;0;3;34;1;3;14;817;232;417;44;59;28;8;;;;;;;29;;;
"V";"06.09.2026";"20:22:39";1;1;"GEM";"15083355";"Kroppenstedt, Stadt";"U";1079;718;9;709;105;436;23;45;25;28;7;0;2;3;1;1;32;0;1;7;711;141;439;23;45;23;13;;;;;;;27;;;
"V";"06.09.2026";"20:21:47";1;1;"GEM";"15083355";"Kroppenstedt, Stadt";"B";0;154;0;154;50;51;15;10;4;7;5;1;0;1;0;0;10;0;0;0;154;51;48;23;6;6;8;;;;;;;12;;;
"V";"06.09.2026";"20:22:39";2;2;"GEM";"15083355";"Kroppenstedt, Stadt";"";1079;872;9;863;155;487;38;55;29;35;12;1;2;4;1;1;42;0;1;7;865;192;487;46;51;29;21;;;;;;;39;;;
"V";"06.09.2026";"20:23:22";2;2;"GEM";"15083361";"Loitsche-Heinrichsberg";"U";761;505;9;496;66;263;31;41;9;34;6;1;3;3;1;2;35;0;1;6;499;97;265;37;41;8;10;;;;;;;34;;;7
"L";;;1;0;"GEM";"15083361";"Loitsche-Heinrichsberg";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0
"Z";"06.09.2026";"20:23:22";3;2;"GEM";"15083361";"Loitsche-Heinrichsberg";"";761;505;9;496;66;263;31;41;9;34;6;1;3;3;1;2;35;0;1;6;499;97;265;37;41;8;10;;;;;;;34;;;7
"Z";"06.09.2026";"20:17:51";9;8;"GEM";"15083390";"Niedere Börde";"U";4135;2700;24;2676;390;1407;196;213;64;153;32;2;34;18;3;14;141;4;5;26;2674;656;1412;182;179;58;61;;;;;;;126;;;
"L";;;1;0;"GEM";"15083390";"Niedere Börde";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"20:17:51";10;8;"GEM";"15083390";"Niedere Börde";"";4135;2700;24;2676;390;1407;196;213;64;153;32;2;34;18;3;14;141;4;5;26;2674;656;1412;182;179;58;61;;;;;;;126;;;
"Z";"06.09.2026";"19:39:25";26;16;"GEM";"15083411";"Oebisfelde-Weferlingen, Stadt";"U";4298;2917;36;2881;527;1388;186;269;67;161;32;0;23;14;23;24;156;5;6;38;2879;688;1395;206;265;82;48;;;;43;;;152;;;
"L";;;2;0;"GEM";"15083411";"Oebisfelde-Weferlingen, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"Z";"06.09.2026";"19:39:25";28;16;"GEM";"15083411";"Oebisfelde-Weferlingen, Stadt";"";4298;2917;36;2881;527;1388;186;269;67;161;32;0;23;14;23;24;156;5;6;38;2879;688;1395;206;265;82;48;;;;43;;;152;;;
"Z";"06.09.2026";"19:49:22";19;15;"GEM";"15083415";"Oschersleben (Bode), Stadt";"U";9941;5615;57;5558;815;3136;390;388;93;238;62;4;63;37;14;34;266;9;9;70;5545;1051;3174;469;330;103;134;;;;;;;284;;;
"L";;;2;0;"GEM";"15083415";"Oschersleben (Bode), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"19:49:22";21;15;"GEM";"15083415";"Oschersleben (Bode), Stadt";"";9941;5615;57;5558;815;3136;390;388;93;238;62;4;63;37;14;34;266;9;9;70;5545;1051;3174;469;330;103;134;;;;;;;284;;;
"V";"06.09.2026";"20:08:37";1;1;"GEM";"15083440";"Rogätz";"U";1778;1020;6;1014;129;572;68;64;14;50;8;2;9;8;2;6;74;3;5;8;1012;190;569;98;49;13;13;;;;;;;71;;;9
"L";;;1;0;"GEM";"15083440";"Rogätz";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0
"Z";"06.09.2026";"20:08:37";2;1;"GEM";"15083440";"Rogätz";"";1778;1020;6;1014;129;572;68;64;14;50;8;2;9;8;2;6;74;3;5;8;1012;190;569;98;49;13;13;;;;;;;71;;;9
"V";"06.09.2026";"19:07:11";3;3;"GEM";"15083485";"Sommersdorf";"U";1088;709;4;705;122;393;43;52;11;30;1;1;10;4;1;4;32;0;1;9;700;160;397;44;47;11;17;;;;;;;24;;;
"V";"06.09.2026";"19:58:28";1;1;"GEM";"15083485";"Sommersdorf";"B";0;163;0;163;31;48;15;23;4;18;0;0;2;2;4;1;15;0;0;0;163;51;47;13;18;4;14;;;;;;;16;;;
"V";"06.09.2026";"19:58:28";4;4;"GEM";"15083485";"Sommersdorf";"";1088;872;4;868;153;441;58;75;15;48;1;1;12;6;5;5;47;0;1;9;863;211;444;57;65;15;31;;;;;;;40;;;
"Z";"06.09.2026";"20:04:17";8;7;"GEM";"15083490";"Sülzetal";"U";5577;3388;41;3347;537;1743;221;236;99;207;33;4;27;34;11;20;166;4;5;38;3350;819;1765;266;168;91;90;;;;;;;151;;;
"L";;;1;0;"GEM";"15083490";"Sülzetal";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"20:04:17";9;7;"GEM";"15083490";"Sülzetal";"";5577;3388;41;3347;537;1743;221;236;99;207;33;4;27;34;11;20;166;4;5;38;3350;819;1765;266;168;91;90;;;;;;;151;;;
"V";"06.09.2026";"18:58:25";1;1;"GEM";"15083505";"Ummendorf";"U";751;467;2;465;77;241;32;28;10;26;5;0;9;2;4;8;21;0;2;3;464;129;233;35;27;12;8;;;;;;;20;;;
"V";"06.09.2026";"19:20:09";1;1;"GEM";"15083505";"Ummendorf";"B";0;149;0;149;55;46;9;14;2;11;0;0;2;1;0;1;8;0;0;2;147;63;44;9;18;3;4;;;;;;;6;;;
"V";"06.09.2026";"19:20:09";2;2;"GEM";"15083505";"Ummendorf";"";751;616;2;614;132;287;41;42;12;37;5;0;11;3;4;9;29;0;2;5;611;192;277;44;45;15;12;;;;;;;26;;;
"V";"06.09.2026";"19:21:32";2;2;"GEM";"15083515";"Völpke";"U";958;594;6;588;79;348;34;49;6;17;5;0;6;1;2;4;34;1;2;5;589;111;355;33;41;9;4;;;;;;;36;;;
"V";"06.09.2026";"19:34:44";1;1;"GEM";"15083515";"Völpke";"B";0;140;0;140;30;38;18;22;8;5;2;0;0;1;0;2;9;1;4;0;140;48;38;18;22;3;3;;;;;;;8;;;
"V";"06.09.2026";"19:34:44";3;3;"GEM";"15083515";"Völpke";"";958;734;6;728;109;386;52;71;14;22;7;0;6;2;2;6;43;2;6;5;729;159;393;51;63;12;7;;;;;;;44;;;
"Z";"06.09.2026";"20:28:52";16;15;"GEM";"15083531";"Wanzleben-Börde, Stadt";"U";10052;6165;64;6101;934;3316;415;446;142;305;76;7;60;47;12;38;281;9;13;84;6081;1274;3333;494;374;160;137;;;;;;;309;;;
"L";;;2;0;"GEM";"15083531";"Wanzleben-Börde, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"20:28:52";18;15;"GEM";"15083531";"Wanzleben-Börde, Stadt";"";10052;6165;64;6101;934;3316;415;446;142;305;76;7;60;47;12;38;281;9;13;84;6081;1274;3333;494;374;160;137;;;;;;;309;;;
"V";"06.09.2026";"20:06:41";1;1;"GEM";"15083535";"Wefensleben";"U";1331;797;9;788;139;413;63;57;12;36;6;1;6;1;0;1;51;0;2;8;789;188;415;71;51;11;16;;;;;;;37;;;
"L";;;1;0;"GEM";"15083535";"Wefensleben";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"20:06:41";2;1;"GEM";"15083535";"Wefensleben";"";1331;797;9;788;139;413;63;57;12;36;6;1;6;1;0;1;51;0;2;8;789;188;415;71;51;11;16;;;;;;;37;;;
"V";"06.09.2026";"20:06:54";4;4;"GEM";"15083557";"Westheide";"U";1412;944;9;935;130;527;55;76;21;41;5;1;11;3;1;4;52;3;5;10;934;195;532;65;53;23;13;;;;;;;46;;;7
"L";;;1;0;"GEM";"15083557";"Westheide";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0
"Z";"06.09.2026";"20:06:54";5;4;"GEM";"15083557";"Westheide";"";1412;944;9;935;130;527;55;76;21;41;5;1;11;3;1;4;52;3;5;10;934;195;532;65;53;23;13;;;;;;;46;;;7
"V";"06.09.2026";"20:18:04";10;10;"GEM";"15083565";"Wolmirstedt, Stadt";"U";9485;5467;62;5405;747;2733;388;465;124;403;61;5;70;39;19;34;275;13;29;65;5402;1180;2749;464;412;148;118;;;;;;;252;;;79
"L";;;2;0;"GEM";"15083565";"Wolmirstedt, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0
"Z";"06.09.2026";"20:18:04";12;10;"GEM";"15083565";"Wolmirstedt, Stadt";"";9485;5467;62;5405;747;2733;388;465;124;403;61;5;70;39;19;34;275;13;29;65;5402;1180;2749;464;412;148;118;;;;;;;252;;;79
"V";"06.09.2026";"20:26:47";2;2;"GEM";"15083580";"Zielitz";"U";1456;913;8;905;147;459;77;76;16;54;4;1;16;6;2;5;38;3;1;8;905;200;458;95;76;21;16;;;;;;;31;;;8
"L";;;1;0;"GEM";"15083580";"Zielitz";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0
"Z";"06.09.2026";"20:26:47";3;2;"GEM";"15083580";"Zielitz";"";1456;913;8;905;147;459;77;76;16;54;4;1;16;6;2;5;38;3;1;8;905;200;458;95;76;21;16;;;;;;;31;;;8
"V";"06.09.2026";"19:55:54";3;3;"GEM";"15084012";"An der Poststraße";"U";1304;904;14;890;127;546;46;46;19;23;13;3;5;3;2;2;53;1;1;18;886;121;579;60;60;38;17;;;;;;;;11;;
"L";;;1;0;"GEM";"15084012";"An der Poststraße";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;
"Z";"06.09.2026";"19:55:54";4;3;"GEM";"15084012";"An der Poststraße";"";1304;904;14;890;127;546;46;46;19;23;13;3;5;3;2;2;53;1;1;18;886;121;579;60;60;38;17;;;;;;;;11;;
"V";"06.09.2026";"20:16:15";2;2;"GEM";"15084013";"Meineweh";"U";773;487;8;479;54;303;30;21;10;20;4;1;8;0;0;1;25;0;2;9;478;98;302;29;17;9;7;;15;;;;;;;;1
"L";;;1;0;"GEM";"15084013";"Meineweh";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;0
"Z";"06.09.2026";"20:16:15";3;2;"GEM";"15084013";"Meineweh";"";773;487;8;479;54;303;30;21;10;20;4;1;8;0;0;1;25;0;2;9;478;98;302;29;17;9;7;;15;;;;;;;;1
"V";"06.09.2026";"20:25:01";2;2;"GEM";"15084015";"Bad Bibra, Stadt";"U";2104;1158;14;1144;146;663;56;72;44;54;11;1;19;5;3;3;61;4;2;16;1142;175;693;88;81;68;28;;;;;;;;9;;
"V";"06.09.2026";"19:51:01";1;1;"GEM";"15084015";"Bad Bibra, Stadt";"B";0;406;0;406;112;133;40;40;17;21;7;1;3;2;1;1;26;2;0;9;397;99;131;61;38;39;22;;;;;;;;7;;
"V";"06.09.2026";"20:25:01";3;3;"GEM";"15084015";"Bad Bibra, Stadt";"";2104;1564;14;1550;258;796;96;112;61;75;18;2;22;7;4;4;87;6;2;25;1539;274;824;149;119;107;50;;;;;;;;16;;
"V";"06.09.2026";"19:13:20";3;3;"GEM";"15084025";"Balgstädt";"U";856;565;3;562;91;337;30;25;13;18;4;0;9;4;1;3;24;3;0;2;563;125;343;34;19;15;6;;15;;;;;;;;6
"V";"06.09.2026";"18:47:19";1;1;"GEM";"15084025";"Balgstädt";"B";0;155;1;154;49;60;12;9;3;9;1;0;1;0;0;0;10;0;0;1;154;63;59;11;6;4;4;;4;;;;;;;;3
"V";"06.09.2026";"19:13:20";4;4;"GEM";"15084025";"Balgstädt";"";856;720;4;716;140;397;42;34;16;27;5;0;10;4;1;3;34;3;0;3;717;188;402;45;25;19;10;;19;;;;;;;;9
"Z";"06.09.2026";"19:28:11";2;1;"GEM";"15084115";"Droyßig";"U";237;140;3;137;16;84;10;7;3;7;4;0;1;1;0;0;4;0;0;2;138;22;82;12;5;3;3;5;;;;;;4;;2;
"L";;;1;0;"GEM";"15084115";"Droyßig";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;;0;
"Z";"06.09.2026";"19:28:11";3;1;"GEM";"15084115";"Droyßig";"";237;140;3;137;16;84;10;7;3;7;4;0;1;1;0;0;4;0;0;2;138;22;82;12;5;3;3;5;;;;;;4;;2;
"Z";"06.09.2026";"19:39:24";3;2;"GEM";"15084125";"Eckartsberga, Stadt";"U";603;387;5;382;50;253;18;23;3;10;0;0;2;1;1;3;16;2;0;7;380;63;259;21;16;11;8;;;;;;;;2;;
"V";"06.09.2026";"20:32:04";1;1;"GEM";"15084125";"Eckartsberga, Stadt";"B";0;332;6;326;78;120;32;37;9;18;3;0;2;0;0;1;22;4;0;9;323;85;119;43;37;25;8;;;;;;;;6;;
"Z";"06.09.2026";"20:32:04";4;3;"GEM";"15084125";"Eckartsberga, Stadt";"";603;719;11;708;128;373;50;60;12;28;3;0;4;1;1;4;38;6;0;16;703;148;378;64;53;36;16;;;;;;;;8;;
"V";"06.09.2026";"19:56:47";11;11;"GEM";"15084130";"Elsteraue";"U";6506;4023;41;3982;583;2436;238;154;57;133;107;4;31;10;8;14;182;5;20;44;3979;628;2429;261;156;58;53;227;;;;;;142;;25;
"V";"06.09.2026";"20:03:14";2;2;"GEM";"15084130";"Elsteraue";"B";0;1320;8;1312;331;484;111;110;22;83;47;3;10;8;3;14;79;3;4;13;1307;345;465;129;93;22;59;110;;;;;;68;;16;
"V";"06.09.2026";"20:03:14";13;13;"GEM";"15084130";"Elsteraue";"";6506;5343;49;5294;914;2920;349;264;79;216;154;7;41;18;11;28;261;8;24;57;5286;973;2894;390;249;80;112;337;;;;;;210;;41;
"V";"06.09.2026";"19:26:49";2;2;"GEM";"15084132";"Finne";"U";893;564;5;559;93;319;30;28;12;15;7;1;10;1;1;3;35;2;2;9;555;106;328;39;31;21;18;;;;;;;;12;;
"L";;;1;0;"GEM";"15084132";"Finne";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;;
"Z";"06.09.2026";"19:26:49";3;2;"GEM";"15084132";"Finne";"";893;564;5;559;93;319;30;28;12;15;7;1;10;1;1;3;35;2;2;9;555;106;328;39;31;21;18;;;;;;;;12;;
"V";"06.09.2026";"19:53:38";2;2;"GEM";"15084133";"Finneland";"U";855;550;7;543;92;288;33;43;26;18;2;0;8;4;1;1;25;1;1;9;541;85;298;48;54;35;9;;;;;;;;12;;
"V";"06.09.2026";"20:16:23";1;1;"GEM";"15084133";"Finneland";"B";0;146;0;146;35;57;17;9;8;4;2;0;1;1;0;0;10;0;2;3;143;29;58;21;21;8;2;;;;;;;;4;;
"V";"06.09.2026";"20:16:23";3;3;"GEM";"15084133";"Finneland";"";855;696;7;689;127;345;50;52;34;22;4;0;9;5;1;1;35;1;3;12;684;114;356;69;75;43;11;;;;;;;;16;;
"V";"06.09.2026";"20:06:06";6;6;"GEM";"15084135";"Freyburg (Unstrut), Stadt";"U";3864;2054;24;2030;313;1143;135;113;55;74;27;5;33;5;9;8;101;5;4;21;2033;457;1177;170;72;61;33;;50;;;;;;;;13
"L";;;1;0;"GEM";"15084135";"Freyburg (Unstrut), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;0
"Z";"06.09.2026";"20:06:06";7;6;"GEM";"15084135";"Freyburg (Unstrut), Stadt";"";3864;2054;24;2030;313;1143;135;113;55;74;27;5;33;5;9;8;101;5;4;21;2033;457;1177;170;72;61;33;;50;;;;;;;;13
"V";"06.09.2026";"18:58:25";3;3;"GEM";"15084150";"Gleina";"U";929;635;10;625;136;310;41;44;19;21;6;1;6;2;0;2;32;2;3;9;626;175;320;43;27;25;12;;18;;;;;;;;6
"V";"06.09.2026";"19:17:10";1;1;"GEM";"15084150";"Gleina";"B";0;134;0;134;40;32;6;21;3;10;3;1;3;0;0;0;13;2;0;1;133;55;37;13;9;7;2;;5;;;;;;;;5
"V";"06.09.2026";"19:17:10";4;4;"GEM";"15084150";"Gleina";"";929;769;10;759;176;342;47;65;22;31;9;2;9;2;0;2;45;4;3;10;759;230;357;56;36;32;14;;23;;;;;;;;11
"V";"06.09.2026";"19:16:43";2;2;"GEM";"15084170";"Goseck";"U";802;545;3;542;94;311;29;35;6;22;5;1;3;4;0;3;27;0;2;3;542;131;321;31;20;7;11;;18;;;;;;;;3
"L";;;1;0;"GEM";"15084170";"Goseck";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;0
"Z";"06.09.2026";"19:16:43";3;2;"GEM";"15084170";"Goseck";"";802;545;3;542;94;311;29;35;6;22;5;1;3;4;0;3;27;0;2;3;542;131;321;31;20;7;11;;18;;;;;;;;3
"Z";"06.09.2026";"19:32:04";4;2;"GEM";"15084207";"Gutenborn";"U";765;503;8;495;93;293;15;32;8;15;6;0;3;4;1;1;11;3;10;8;495;100;284;18;33;15;6;14;;;;;;9;;16;
"L";;;1;0;"GEM";"15084207";"Gutenborn";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;;0;
"Z";"06.09.2026";"19:32:04";5;2;"GEM";"15084207";"Gutenborn";"";765;503;8;495;93;293;15;32;8;15;6;0;3;4;1;1;11;3;10;8;495;100;284;18;33;15;6;14;;;;;;9;;16;
"V";"06.09.2026";"20:13:20";11;11;"GEM";"15084235";"Hohenmölsen, Stadt";"U";7735;4456;48;4408;606;2602;332;239;86;164;43;12;48;20;7;18;213;5;13;56;4400;772;2605;373;210;82;76;102;;;;;;160;;20;
"Z";"06.09.2026";"19:12:37";2;1;"GEM";"15084235";"Hohenmölsen, Stadt";"B";0;472;0;472;107;161;48;61;15;33;6;0;6;1;1;3;25;1;4;0;472;142;160;46;38;19;24;17;;;;;;19;;7;
"Z";"06.09.2026";"20:13:20";13;12;"GEM";"15084235";"Hohenmölsen, Stadt";"";7735;4928;48;4880;713;2763;380;300;101;197;49;12;54;21;8;21;238;6;17;56;4872;914;2765;419;248;101;100;119;;;;;;179;;27;
"V";"06.09.2026";"19:42:47";2;2;"GEM";"15084246";"Kaiserpfalz";"U";1232;779;8;771;109;464;65;40;16;21;11;0;4;4;3;2;31;1;0;8;771;129;466;69;56;20;16;;;;;;;;15;;
"V";"06.09.2026";"19:57:48";1;1;"GEM";"15084246";"Kaiserpfalz";"B";0;192;1;191;49;76;6;21;3;7;4;0;3;2;3;3;12;2;0;7;185;37;80;17;31;7;5;;;;;;;;8;;
"V";"06.09.2026";"19:57:48";3;3;"GEM";"15084246";"Kaiserpfalz";"";1232;971;9;962;158;540;71;61;19;28;15;0;7;6;6;5;43;3;0;15;956;166;546;86;87;27;21;;;;;;;;23;;
"V";"06.09.2026";"19:37:48";3;3;"GEM";"15084250";"Karsdorf";"U";1088;708;12;696;131;342;61;49;10;27;9;1;19;5;0;2;35;2;3;15;693;163;366;77;30;16;15;;22;;;;;;;;4
"L";;;1;0;"GEM";"15084250";"Karsdorf";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;0
"Z";"06.09.2026";"19:37:48";4;3;"GEM";"15084250";"Karsdorf";"";1088;708;12;696;131;342;61;49;10;27;9;1;19;5;0;2;35;2;3;15;693;163;366;77;30;16;15;;22;;;;;;;;4
"Z";"06.09.2026";"19:33:55";5;2;"GEM";"15084275";"Kretzschau";"U";262;140;4;136;22;76;7;13;0;6;2;0;0;1;1;2;5;1;0;4;136;26;75;12;10;1;1;2;;;;;;6;;3;
"L";;;1;0;"GEM";"15084275";"Kretzschau";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;;0;
"Z";"06.09.2026";"19:33:55";6;2;"GEM";"15084275";"Kretzschau";"";262;140;4;136;22;76;7;13;0;6;2;0;0;1;1;2;5;1;0;4;136;26;75;12;10;1;1;2;;;;;;6;;3;
"V";"06.09.2026";"19:17:54";2;2;"GEM";"15084282";"Lanitz-Hassel-Tal";"U";840;561;6;555;106;280;29;35;23;21;8;1;5;3;1;2;37;3;1;11;550;115;291;54;35;31;18;;;;;;;;6;;
"V";"06.09.2026";"19:03:06";1;1;"GEM";"15084282";"Lanitz-Hassel-Tal";"B";0;117;0;117;28;48;10;11;2;8;1;0;2;1;2;1;2;1;0;1;116;33;48;17;10;4;3;;;;;;;;1;;
"V";"06.09.2026";"19:17:54";3;3;"GEM";"15084282";"Lanitz-Hassel-Tal";"";840;678;6;672;134;328;39;46;25;29;9;1;7;4;3;3;39;4;1;12;666;148;339;71;45;35;21;;;;;;;;7;;
"V";"06.09.2026";"19:46:24";4;4;"GEM";"15084285";"Laucha an der Unstrut, Stadt";"U";2235;1324;23;1301;215;742;75;57;38;53;18;5;20;9;2;5;62;0;0;23;1301;292;760;87;52;32;28;;38;;;;;;;;12
"L";;;1;0;"GEM";"15084285";"Laucha an der Unstrut, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;0
